precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,feature_budget,placement,threshold_rule,seed,train_time_sec
0.6539886873415253,0.98559670781893,0.786258646969164,0.9855555555555555,0.5000205761316873,5202,3402,1800,0.6317656280619243,0.7826908763652223,10,4,Logistic Regression,clean,64,central,fixed_0.5,42,2.892380166999942
0.7085852478839177,0.8612580834803057,0.7774976781212684,0.6694444444444444,0.5959068195179307,5202,3402,1800,0.6481244692664445,0.7580664913650251,10,4,Random Forest,clean,64,central,fixed_0.5,42,17.388083250000022
0.7075588599752168,0.839212228101117,0.7677827080812155,0.6555555555555556,0.5918283362727808,5202,3402,1800,0.6744928636749624,0.8070369698948603,10,4,XGBoost,clean,64,central,fixed_0.5,42,3.669770584000048
0.7005826983415508,0.9188712522045855,0.7950152594099695,0.7422222222222222,0.5883245149911817,5202,3402,1800,0.6708953883336599,0.8023054452546812,10,4,Compact MLP,clean,64,central,fixed_0.5,42,5.470423332999985
0.6549034899590563,0.9873603762492651,0.787480951822764,0.9833333333333333,0.5020135214579659,5202,3402,1800,0.5765045071526553,0.7067418129063867,10,4,Logistic Regression,clean,32,central,fixed_0.5,42,0.5537075409999943
0.7070731707317073,0.852145796590241,0.7728605705145295,0.6672222222222223,0.5924617871840094,5202,3402,1800,0.6545424260239076,0.7649354385359648,10,4,Random Forest,clean,32,central,fixed_0.5,42,13.666352082999992
0.704539936877883,0.8530276308054086,0.771705890174179,0.6761111111111111,0.5884582598471487,5202,3402,1800,0.6805485335423607,0.8129002253028721,10,4,XGBoost,clean,32,central,fixed_0.5,42,1.4703769589999638
0.6938865592584419,0.9241622574955908,0.7926383461489979,0.7705555555555555,0.5768033509700177,5202,3402,1800,0.6904585537918871,0.8141633303236417,10,4,Compact MLP,clean,32,central,fixed_0.5,42,3.9627902920000224
0.6544046466602129,0.993533215755438,0.7890743550834598,0.9916666666666667,0.5009332745443856,5202,3402,1800,0.5761457312691881,0.707786143660971,10,4,Logistic Regression,clean,16,central,fixed_0.5,42,0.17506020799999078
0.7238639185497889,0.8568489124044679,0.7847624175528335,0.6177777777777778,0.6195355673133451,5202,3402,1800,0.7013394898425762,0.8146527824412434,10,4,Random Forest,clean,16,central,fixed_0.5,42,8.253375542000072
